name,lat,long,city
95,Santa Barbara Municipal Airport,34.42620087,-119.8399963,Santa Barbara
96,Key West International Airport,24.556101,-81.759598,Key West
97,Pensacola International Airport,30.4734,-87.1866,Pensacola
98,Tallahassee Regional Airport,30.3965,-84.350304,Tallahassee
99,Rapid City Regional Airport,44.0452995300293,-103.05699920654297,Rapid City
100,Blue Grass Airport,38.036499,-84.605904,Lexington
101,Boeing Field King County International Airport,47.529999,-122.302002,Seattle
102,Monterey Peninsula Airport,36.58700180053711,-121.84300231933594,Monterey
103,Piedmont Triad International Airport,36.097801,-79.937302,Greensboro
104,Greenville Spartanburg International Airport,34.895699,-82.218903,Greer
105,Lihue Airport,21.976,-159.339005,Lihue
106,Teterboro Airport,40.85010147089999,-74.060798645,Teterboro
107,Daytona Beach International Airport,29.179899,-81.058098,Daytona Beach
108,North Las Vegas Metropolitan International Airport,36.210701,-115.194,Las Vegas
109,Sarasota Bradenton International Airport,27.395399,-82.554398,Sarasota/Bradenton
110,Asheville Regional Airport,35.436199,-82.541801,Asheville
111,Columbia Metropolitan Airport,33.938801,-81.119499,Columbia
112,St. Petersburg Clearwater International Airport,27.9102,-82.687401,Pinellas Park
113,Akron Canton Regional Airport,40.916099548339844,-81.44219970703125,Akron
114,Chattanooga Metropolitan Airport (Lovell Field),35.035301,-85.203796,Chattanooga
115,Lubbock Preston Smith International Airport,33.663601,-101.822998,Lubbock
116,Santa Fe Municipal Airport,35.6171,-106.088997,Santa Fe
117,Bangor International Airport,44.8074,-68.828102,Bangor
118,Fresno Yosemite International Airport,36.776199,-119.718002,Fresno
119,Harrisburg International Airport,40.193501,-76.763397,Harrisburg
120,Orlando Sanford International Airport,28.777599334716797,-81.23750305175781,Orlando
121,Van Nuys Airport,34.209800720215,-118.48999786377,Van Nuys
122,Charlottesville Albemarle Airport,38.13859939575195,-78.4529037475586,Charlottesville
123,Huntsville International Carl T Jones Field,34.637199,-86.775101,Huntsville
124,Jackson Hole Airport,43.6072998046875,-110.73799896240234,Jackson
125,Fort Lauderdale Executive Airport,26.1972999573,-80.1707000732,Fort Lauderdale
126,Myrtle Beach International Airport,33.6796989441,-78.9282989502,Myrtle Beach
